timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/04 14:32:39.914, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:33:09.917, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:33:39.918, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:34:09.919, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:34:39.919, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:35:09.920, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:35:39.921, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:36:09.921, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:36:39.922, 0 %, 0 %, 0 MiB, 40960 MiB
2026/02/04 14:37:09.923, 0 %, 0 %, 1703 MiB, 40960 MiB
2026/02/04 14:37:39.924, 0 %, 0 %, 1871 MiB, 40960 MiB
2026/02/04 14:38:09.925, 0 %, 0 %, 3383 MiB, 40960 MiB
2026/02/04 14:38:39.925, 0 %, 0 %, 3383 MiB, 40960 MiB
2026/02/04 14:39:09.926, 0 %, 0 %, 3551 MiB, 40960 MiB
2026/02/04 14:39:39.927, 0 %, 0 %, 4443 MiB, 40960 MiB
2026/02/04 14:40:09.928, 0 %, 0 %, 5483 MiB, 40960 MiB
2026/02/04 14:40:39.928, 0 %, 0 %, 5483 MiB, 40960 MiB
2026/02/04 14:41:09.929, 0 %, 0 %, 6071 MiB, 40960 MiB
2026/02/04 14:41:39.930, 0 %, 0 %, 6323 MiB, 40960 MiB
2026/02/04 14:42:09.931, 0 %, 0 %, 6491 MiB, 40960 MiB
2026/02/04 14:42:39.931, 0 %, 0 %, 7363 MiB, 40960 MiB
2026/02/04 14:43:09.932, 0 %, 0 %, 9063 MiB, 40960 MiB
2026/02/04 14:43:39.933, 0 %, 0 %, 10303 MiB, 40960 MiB
2026/02/04 14:44:09.933, 0 %, 0 %, 10523 MiB, 40960 MiB
2026/02/04 14:44:39.934, 0 %, 0 %, 10523 MiB, 40960 MiB
2026/02/04 14:45:09.935, 0 %, 0 %, 10943 MiB, 40960 MiB
2026/02/04 14:45:39.935, 0 %, 0 %, 11583 MiB, 40960 MiB
2026/02/04 14:46:09.936, 0 %, 0 %, 13663 MiB, 40960 MiB
2026/02/04 14:46:39.937, 0 %, 0 %, 15915 MiB, 40960 MiB
2026/02/04 14:47:09.938, 67 %, 40 %, 19031 MiB, 40960 MiB
2026/02/04 14:47:39.939, 65 %, 39 %, 19337 MiB, 40960 MiB
2026/02/04 14:48:09.939, 68 %, 41 %, 21017 MiB, 40960 MiB
2026/02/04 14:48:39.941, 69 %, 41 %, 21017 MiB, 40960 MiB
2026/02/04 14:49:09.942, 0 %, 0 %, 21017 MiB, 40960 MiB
2026/02/04 14:49:39.942, 0 %, 0 %, 21017 MiB, 40960 MiB
