timestamp,util.gpu,util.mem,mem.used,mem.total,power.draw
2026/02/09 11:23:02.396, 0 %, 0 %, 0 MiB, 40960 MiB, 41.08 W
2026/02/09 11:23:32.443, 0 %, 0 %, 0 MiB, 40960 MiB, 39.31 W
2026/02/09 11:24:02.473, 0 %, 0 %, 0 MiB, 40960 MiB, 38.41 W
2026/02/09 11:24:32.503, 0 %, 0 %, 1871 MiB, 40960 MiB, 40.28 W
2026/02/09 11:25:02.544, 0 %, 0 %, 6323 MiB, 40960 MiB, 39.99 W
2026/02/09 11:25:32.574, 0 %, 0 %, 10355 MiB, 40960 MiB, 39.90 W
2026/02/09 11:26:02.604, 0 %, 0 %, 13663 MiB, 40960 MiB, 39.69 W
2026/02/09 11:26:32.635, 67 %, 40 %, 19129 MiB, 40960 MiB, 170.22 W
2026/02/09 11:27:02.665, 65 %, 40 %, 19129 MiB, 40960 MiB, 175.23 W
2026/02/09 11:27:32.696, 100 %, 54 %, 22159 MiB, 40960 MiB, 236.48 W
2026/02/09 11:28:02.727, 66 %, 40 %, 22159 MiB, 40960 MiB, 183.98 W
2026/02/09 11:28:32.781, 63 %, 38 %, 23729 MiB, 40960 MiB, 181.41 W
